J,K,N,p,seed,sim,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time
50,10,10,0.1,1,0,0.004128993023186922,0.00014216196723282337,0.000868156086653471,0.0012580249458551407,0.0001265860628336668,0.19863145798444748,17,0.20516297104768455,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,752,0.006523922085762024,0.004556129919365048
50,10,10,0.1,1,1,0.0020022979006171227,9.343982674181461e-05,0.0005570100620388985,0.0012614668812602758,7.497402839362621e-05,0.17441240302287042,11,0.17841183999553323,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,896,0.003989188699051738,0.0043230000883340836
50,10,10,0.1,1,2,0.0022736499086022377,9.357510134577751e-05,0.0006354560609906912,0.0012405570596456528,7.34301283955574e-05,0.12682714313268661,13,0.131150817964226,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,832,0.004316668258979917,0.004139537923038006
50,10,10,0.1,1,3,0.03853531600907445,0.0001340231392532587,0.0006174980662763119,0.001225138083100319,0.00010854494757950306,0.0,10,0.04062776197679341,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,1024,0.04062052024528384,0.0038884880486875772
50,10,10,0.1,1,4,0.0017651410307735205,9.202887304127216e-05,0.0005916410591453314,0.0012347770389169455,7.51239713281393e-05,0.10677098715677857,12,0.11053645401261747,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,736,0.0037587119732052088,0.004058103077113628
50,10,10,0.1,1,5,0.0007162978872656822,0.0,0.0,0.0,0.0,0.0,9,0.0008679330348968506,0,-1,basis_J_less_than_K,0,0,1,1,0,1,0,1,512,0.0007162978872656822,0.00248331087641418
50,10,10,0.1,1,6,0.0013537709601223469,8.973898366093636e-05,0.0005214749835431576,0.0012313900515437126,6.801309064030647e-05,0.0,10,0.003268047934398055,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,1024,0.00326438806951046,0.0037428010255098343
50,10,10,0.1,1,7,0.0013383228797465563,9.305798448622227e-05,0.0005155920516699553,0.0012328941375017166,6.708200089633465e-05,0.0,10,0.0032503411639481783,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,1024,0.003246949054300785,0.003751023905351758
50,10,10,0.1,1,8,0.0011693770065903664,8.896598592400551e-05,0.00016791000962257385,0.0,0.0,0.0,10,0.001564685022458434,0,2,two_column_check_failed,0,0,1,1,0,1,0,1,768,0.0014262530021369457,0.0031483089551329613
50,10,10,0.1,0,0,0.0034053639974445105,0.00016461382620036602,0.0007313201203942299,0.0013130188453942537,0.00017260294407606125,0.2536617489531636,13,0.25945907388813794,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,976,0.005786919733509421,0.004822619026526809
50,10,10,0.1,0,1,0.0014704859349876642,0.00010140705853700638,0.0005445240531116724,0.0012882060837000608,9.208498522639275e-05,0.0,10,0.003501090919598937,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,1024,0.0034967081155627966,0.004081465071067214
50,10,10,0.1,0,2,0.0020907421130687,9.0734101831913e-05,4.7340989112854004e-05,0.0,0.0,0.0,13,0.0024234189186245203,0,2,two_column_check_failed,0,0,1,1,0,1,0,1,752,0.002228817204013467,0.0032553269993513823
50,10,10,0.1,1,9,0.0011662719771265984,8.80570150911808e-05,0.0005560398567467928,0.0012483431492000818,6.728502921760082e-05,0.13402080303058028,11,0.1371526839211583,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,736,0.0031259970273822546,0.004118829965591431
